channel_id,channel,classification
UC7u-Dg0jb7g9s7XjmtJrtpg,Chain Bear F1,3.0
UC9s0VWkZBVxUVlou5tWUa1A,Dan Willis,3.0
UC9ysHc48rOTPscn10W4SB0Q,conwayceltic,3.0
UCA1eEl1ESNRozt3BvAlKjFA,Skies Clear,3.0
UCAihpLquYm6S1pwnLUrb6DQ,J.C. SMITH PROJECTS,3.0
UCCCGJBtHvKmkYtyUU1NiDLQ,"Israel, Islam and End Times",3.0
UCDxY7yP73nhobjLiUOm8how,BigKleib34,3.0
UCF1JsCCRfH5PFxl3yAHl2wg,Fisher Industries,3.0
UCFJm2uypF8aw4rfcTuMz51Q,txtimbre,3.0
UCGdL4y4bZxqvPmqXZGceV3w,Jerry Makoff,3.0
UCHhCuEIVQk511XVaLJ3QrtA,Denis Okan,3.0
UCIdM3gnmPEJUyqP_R3dXGrg,Bluethunderboom,3.0
UCJ4s1jJtG_02vJrlDhJ0nkg,The Best families,3.0
UCK35YBc9u47SmsrEwZU-b0A,RevolutionInfidel,4.0
UCLqOGJM6ddgBbR6aS94OQ4g,Steve Wild,3.0
UCNQMOOMpH5KEWDnQCxXgfeA,Nazam44,4.0
UCOfNT6gfWQahnp2YIxnsWIw,WITHHELDINTELLIGENCE,3.0
UCOq5vhrObCu0skK-TJnvzGg,Killin Grounds Outdoors,3.0
UCPMVT3BUwlwkPXB-X1pSbmw,mohamed essam ahmed Afify,3.0
UCQi0NJc7ZVbkSjTEIRwQk_Q,EarthAdvocate,3.0
UCSHBdU6MUyKnrv-a_eP_sVw,Matt Butterworth,3.0
UCSUkQOjbmI8Ulu2Th7p8UpA,Anna Everywhere,3.0
UCU6Whwm6zTl1iSfVrRe7UHA,SPCcranford1056,3.0
UCVGfzTlz_UZy2DBhEPnBaJQ,007craft,3.0
UCXhUFbxq8SsfqPLe9AC62kg,GillardShelters,3.0
UCZCnq_iWXHTrv4wNp1CP65w,Ruben Ubasa,4.0
UC_aot1s1hKsKgOi6lJPpoUA,My Guide Network,3.0
UC_qcKCDc0LrCX9OKOvNMSCA,tine tv,3.0
UCa2tUAFYllAtKsac54I26Hw,Topfelya,3.0
UCbmSNld2-Gg8VdBr-V2Eq6g,Bryan Foster,3.0
UCc1kbufJDrtKRtzedU0oylw,Sean A,3.0
UCc1ufNROdAxto9Fr0jnEE2Q,Advoko MAKES,3.0
UCeRB6QC6LfN88asOM7iW-BA,Martin Jacques,3.0
UCfoK9LI9vmQQ36zqsFZtNJQ,Airforceproud95,3.0
UCfstL7sMP6GJo7vmP1PQl_g,Adam Leung,3.0
UCgh483t3GHaVl_sDCOakXrQ,Social Contract,3.0
UCj7Vf_96hjesc5UXi0rRZcw,Top Most,3.0
UCkB9HhWYphwtX48GrPqtJww,AbidingLoveforAfrica,3.0
UCqqv75ZlDs26NgBzL0b_AQA,Rudolf ten Voorde,3.0
UCruCjDjjX-A0NAJbL6UmnUw,dphanlon4,3.0
UCtR0rCOtt9qiQ44BgLjK_PQ,Bugnutz438,3.0
UCuesDj-63PVE_bXW1welFdw,PHALANX47,3.0
UCvdicHQYMjwpDcZDhVZh5SQ,googarra,3.0
UCx4S9Q0zzQ2G50P5Or-fw2Q,grousegunr,3.0
UCzEaHlu8U4S1At4XoT_hHkw,frabag100,3.0
UCd13O3aKVIhsFpbHt0vmFFA,Blue Collar Logic,4.0
UCsMcVNpaZMAYYkA_jFqngOQ,SpiritualWorld,4.0
UC1m_MRv7ypuJ2U1E9t6lRdQ,Josh Peck,4.0
UCG45iawM-_74uspjqcgg3_A,スターの庭Clarion's Call,4.0
UCVTP_kBgE0rsLYbH2-GROfA,Ethical Preparedness,4.0
UCdhpxO3YitAueMu9gyHWVoQ,Hoi Tiec,4.0
UCtu2THvit1LjLONLqvD8uAQ,FLAT EARTH BROTHERS,4.0
UCxLGzYSM_Zqy1-hqGTxvDoQ,The Constable,4.0
UCCwZf8GJ3yd73_oIrJpOgxQ,Greg Ansel,3.0
UCE5eHZh8QvUc65HnixbUWsQ,James Burch,3.0
UCNfEmP3zJGrEXNmu62lVj9g,TheF5hunter,3.0
UCPoI_D-YeiYz41XaBnFhYTQ,WeatherGodsTours,3.0
UCh6TgUO_CHIx8e-qwrhW07A,Richard Thies,3.0
UC82VxZePtuLACGBFdV2rMDw,Justin Cleaver,3.0
UC9KsQoJpalB8xBQ6DUkqCUA,Laugh TV,3.0
UC9_eukrzdzY91jjDZm62FXQ,MojoTravels,3.0
UCAi0eEaisH0T9C9BKowJ4_A,Simply Investing,3.0
UCBA15-oeArLqwZ7Wceyk7hw,Vanessa Christine,3.0
UCBtjc1HLj_1BG-RVVBS-y0w,IVY,3.0
UCE0uCIsTkr2IKyLB10ghiRQ,Sad Cat,3.0
UCEmKj1lIrofRdzWuRV0TTBA,SteadyPop,3.0
UCG1QcV31eoSaX4rE8avQL4A,Bjørn Nyland,3.0
UCHk1Uzn0oqSUbMc56SAbFZw,HondaPro Jason,3.0
UCKInzdEhHp2qdsOYg_0L6IQ,Brandon Weaver,3.0
UCNPc1X9OXek7Vnmk5Oz6mPQ,Minota,3.0
UCOLrL0-ng71wJ2QeW8yVsaA,TheBrooklynGame,3.0
UCORp0Fxa5lHFuZfLHxfeLuQ,Basquiat Picasso,3.0
UCOW0-h9s1HM-EO8fB0zmdSg,Tattoo Johnny,3.0
UCQ4ll-FJkkuOlyq6yOcqIow,svrweather,3.0
UCQbHh0ZnrowqF50SeN-iGWQ,SPECTRUM PRODUCTIONS,3.0
UCRLcozZNLsn9bUz-JfZ-BKQ,sharpenedge,3.0
UCRe0uu3X0rfB-PXL0tQcx2A,Girish Shakya,3.0
UCSNCqz6wqMbiCW5o2BWan4g,Arlingtoncards,3.0
UCSx3UZMZ_f0-UVYPKUAi2OA,heraldandreview,3.0
UCT9CHbGeQlJvl3HAZok_DMA,Bestie,3.0
UCTB6T5r2jW3g7fNbgHSsJhA,sisu talo,3.0
UCTGxu-WLFMkg_5xTyD9ApiQ,Forever Chasing,3.0
UCTvZcgH_rsvaGuZ8mU5jpnA,WHAS11,3.0
UCUthZZsrKPNSsXZCAgB4PQQ,Sovereign Syndicate,3.0
UCVS6ejD9NLZvjsvhcbiDzjw,Crosstalk Solutions,3.0
UCWdcosWNz26bf9Jri8DTnow,Christophe Choo,3.0
UCXVC7BWiyAfPVrMec35x7Xg,Terry Collins,3.0
UCY8Jsts88zZlUSVwfqdH8Tw,GEOBROTHER,3.0
UCY8XVJ6VssgLVOdVNGCYqig,sohuel,3.0
UCYDZ_boY3SdBFCPFLcReryA,Halifaxto Hollywood,3.0
UCZFRs1R9ECKDwnLy5IQzwkg,California Through My Lens,3.0
UCZPi2IZwhRRUbji5Xg35Uiw,BASSXsocom,3.0
UCa2lXzhRRTwIXMDTFgrUPwg,InvestSuccess,3.0
UCcLo2yzSwl1TW2h1WucS-4Q,Freez' Asw,3.0
UCeM0xEsKuci2uIuK6Vi7fmQ,Carey On Vagabond,3.0
UCepcLuOQNkWW0vmon4DenRg,RKTNN Truth News Network,3.0
UCgJgDI5G8PaaVOrLd0Z_Cxg,BRAINY DOSE,3.0
UCh6H8_cktijWOIK90LkV6lQ,§paethon,3.0
UCi0dMJgVImNnJwJgiqwLgkA,Soul Evolution,3.0
UCiITM0rs1gL3sdJ47mmS55A,The Crazed Indian House Wife,3.0
UCinm2lKCnK42CpDMt1vaq9Q,Robert Aldulea,3.0
UCjfNhxm6UXizWBijG0Gq3ew,BeauCh,3.0
UCjtUS7-SZTi6pXjUbzGHQCg,Undecided with Matt Ferrell,3.0
UCkLNxSmXlDaaSPUZKnehbJA,KID & DOG COLLECTION,3.0
UCklX3t_FRo_PNIM0wlwMENg,LA Henna,3.0
UClQnNpESXY9_wkOCQsuhGew,theleeoverstreet,3.0
UClh-kVGih16yME0-jp3pzVg,SOH Talks & Ideas,3.0
UClxu4ngF2ctcuIGeyrfTjwA,digstravel33,3.0
UCnFuzrDSZUS6fj6QYwrIi3g,developadream,3.0
UCnRb7ogS2QJxCvLL1qMIAZg,lou's crazy life,3.0
UCnqbt0lrjiSH0W9-XQEe_sA,Hawk and Owl Trust,3.0
UCoI_A-chKxsYV9_1hlsKHaw,Sloan Fischer,3.0
UCoYDuEolAYsjQzzqe2dh1sg,Brandon Beavis Investing,3.0
UCokqnd75JuWQXn4egiuF4ig,SiSi Fu,3.0
UCpDhU3WHn-sGsWSUsDSXkBg,Michael Skinner,3.0
UCq5hgY37WAryZCwmehDyCaQ,Funny Animals,3.0
UCq9Wh2QFjscKRGHKO1PSpbA,Ben Cropp,3.0
UCstrXRqOR2dotMpxE81i8Jw,Freaktography,3.0
UCt-TWZubGKT0mkQfFwnzloQ,Rob Logan,3.0
UCtG6nkysiSyYn4btMEPkryA,Christopher Collinsworth,3.0
UCvAhDxNNUDhi78tMXVGBUaQ,Tavarish,3.0
UCvJSaiuvbAU5VPsCRvQMk8g,Happily,3.0
UCwuqn-_uZaVLDbzoBXdaYXA,Abacus Sports Installations Ltd.,3.0
UCxaueuSdfAgC_qo5kFnIsIQ,Animal Antics,3.0
UCyNDSYJSa9SNGUr_kbQ4HaA,abbieburk,3.0
UCytJoJeDSAMEG6r8iiFmE4A,makemeow,3.0
UCzl3FQACfX7x77fS2PoH0JA,Economic Doctors,3.0
UC-1haYCExpH9FA5oYMjzpfw,Life of Sammie,3.0
UC-F6LZSWz34xKknY8NNCzgQ,PDK,3.0
UC-R5jRn5H-4RIn-rRnY2EJA,yizuman,3.0
UC-kb2KuHTpasnw_T2EL0Cqg,Documentary 2019,3.0
UC-ufXjH5GywdOAHIHWybczQ,Joe Dorr,3.0
UC0A2Lk1jcr0FYgdx74iuFiw,Jim and Sam Show,3.0
UC0HG_RXwktVyY61D30IkyOg,Kidscoco Club,3.0
UC0zKRUjZI7v_jPqPE00jdsQ,unprogramming,3.0
UC14-ogPujrTuAiGTGwkxCFw,DaveVisionDPeditor,3.0
UC1S3z1wG55b94sfw1XCtSww,START,3.0
UC1xxwOv3DfIGkrEgdAbRWHA,dornierGP,3.0
UC35mhg24xG43aEsK2B3tj9w,Raven Navera,3.0
UC3Dcag07O8sLlDAqNpdZojA,Funny InstaVID,3.0
UC4UJ26WkceqONNF5S26OiVw,deeplizard,3.0
UC4lJTrjdcIbXqbRK1ZTYgxA,Hamish & Andy,3.0
UC4nEWxyxhctZF5QHLmll6oQ,Rockinravie,3.0
UC5ZxcsTa7pXwvLSmyXBX1bw,Vine Town,3.0
UC5viuqo241Zs3fEZ4Q0oxDg,StoryTimeWithMsBecky,3.0
UC6d8acRcK9h7bY_HRRucHhA,bitbetterhavemymoney,3.0
UC6oY5cYys7EZsUeGzNYifUg,fourduce1,3.0
